read,write,map,correspondences,1st_write,1st_same,1st_different,1st_same_len,1st_different_len,1st_congruency,most_congruency_write,most_congruency_same,most_congruency_different,most_congruency_same_len,most_congruency_different_len,most_congruency_congruency
bei,['1029'],㗗 㪏㼰㽡䇑䚜䠋𬨌𱂮䰦䱝𫜔俾卑啤埤婢崥庳捭朇椑渒焷牌猈琕痺睥碑禆稗箄粺𰬤聛脾萆蜱裨諀豍貏郫𰾎陴鞞髀鹎鼙𪐄,"[{'1029': {'same': ['卑', '碑', '㗗', '㽡', '椑', '鹎'], 'different': ['牌', '啤', '脾', '俾', '婢', '蜱', '稗', '裨', '陴', '㪏', '㼰', '䇑', '䚜', '䠋', '𬨌', '𱂮', '䰦', '䱝', '𫜔', '埤', '崥', '庳', '捭', '朇', '渒', '焷', '猈', '琕', '痺', '睥', '禆', '箄', '粺', '𰬤', '聛', '萆', '諀', '豍', '貏', '郫', '𰾎', '鞞', '髀', '鼙', '𪐄']}}]",1029,卑 碑 㗗 㽡 椑 鹎,牌 啤 脾 俾 婢 蜱 稗 裨 陴 㪏 㼰 䇑 䚜 䠋 𬨌 𱂮 䰦 䱝 𫜔 埤 崥 庳 捭 朇 渒 焷 猈 琕 痺 睥 禆 箄 粺 𰬤 聛 萆 諀 豍 貏 郫 𰾎 鞞 髀 鼙 𪐄,6,45,0.11764705882352941,1029,卑 碑 㗗 㽡 椑 鹎,牌 啤 脾 俾 婢 蜱 稗 裨 陴 㪏 㼰 䇑 䚜 䠋 𬨌 𱂮 䰦 䱝 𫜔 埤 崥 庳 捭 朇 渒 焷 猈 琕 痺 睥 禆 箄 粺 𰬤 聛 萆 諀 豍 貏 郫 𰾎 鞞 髀 鼙 𪐄,6,45,0.11764705882352941
ben,['1020'],㱵 𬏷䒈䩿䴅偾喷坟𪩸愤𰗺𬅫𣸣𰞻𰡞𫅗𪱥𰱟豮贲𮝷𫔁𱀡𱄀𬳟鲼𱋱𢊱𢴢𣯻𤖘𬓱𥳡𧷐,"[{'1020': {'same': ['贲', '𰡞', '𬓱'], 'different': ['喷', '愤', '坟', '㱵', '𬏷', '䒈', '䩿', '䴅', '偾', '𪩸', '𰗺', '𬅫', '𣸣', '𰞻', '𫅗', '𪱥', '𰱟', '豮', '𮝷', '𫔁', '𱀡', '𱄀', '𬳟', '鲼', '𱋱', '𢊱', '𢴢', '𣯻', '𤖘', '𥳡', '𧷐']}}]",1020,贲 𰡞 𬓱,喷 愤 坟 㱵 𬏷 䒈 䩿 䴅 偾 𪩸 𰗺 𬅫 𣸣 𰞻 𫅗 𪱥 𰱟 豮 𮝷 𫔁 𱀡 𱄀 𬳟 鲼 𱋱 𢊱 𢴢 𣯻 𤖘 𥳡 𧷐,3,31,0.08823529411764706,1020,贲 𰡞 𬓱,喷 愤 坟 㱵 𬏷 䒈 䩿 䴅 偾 𪩸 𰗺 𬅫 𣸣 𰞻 𫅗 𪱥 𰱟 豮 𮝷 𫔁 𱀡 𱄀 𬳟 鲼 𱋱 𢊱 𢴢 𣯻 𤖘 𥳡 𧷐,3,31,0.08823529411764706
beng,['1024'],㥊 䙀䨜倗堋奟崩弸掤朋棚淜焩痭硼稝绷萠𰺏𬭖鬅鹏𠜳𠡮𢉁𢽩𣂤𣨥𨂃𨹹𩋒,"[{'1024': {'same': ['崩', '绷', '䙀', '䨜', '奟', '痭', '𠜳', '𠡮', '𢉁', '𣂤', '𣨥', '𨹹'], 'different': ['朋', '棚', '鹏', '硼', '㥊', '倗', '堋', '弸', '掤', '淜', '焩', '稝', '萠', '𰺏', '𬭖', '鬅', '𢽩', '𨂃', '𩋒']}}]",1024,崩 绷 䙀 䨜 奟 痭 𠜳 𠡮 𢉁 𣂤 𣨥 𨹹,朋 棚 鹏 硼 㥊 倗 堋 弸 掤 淜 焩 稝 萠 𰺏 𬭖 鬅 𢽩 𨂃 𩋒,12,19,0.3870967741935484,1024,崩 绷 䙀 䨜 奟 痭 𠜳 𠡮 𢉁 𣂤 𣨥 𨹹,朋 棚 鹏 硼 㥊 倗 堋 弸 掤 淜 焩 稝 萠 𰺏 𬭖 鬅 𢽩 𨂃 𩋒,12,19,0.3870967741935484
bi,['1059'],㧙 䀣䏟䟤䩛𱂅𫠈佖咇妼宓必怭柲毖泌珌瑟祕秘苾袐𰴕邲铋𮤲𫗣馝𱅈𮭤𠚊𠛡𠨘𢁽𢗈𣁉𣢠𤵘𤽣𥁑𦣥𨒜𨠔𨤩𨸼𪏺,"[{'1059': {'same': ['必', '毖', '铋', '㧙', '䀣', '䟤', '䩛', '𱂅', '𫠈', '佖', '咇', '妼', '怭', '柲', '珌', '苾', '袐', '邲', '𮤲', '𫗣', '馝', '𱅈', '𠛡', '𠨘', '𢁽', '𣁉', '𣢠', '𤵘', '𨠔', '𨸼', '𪏺'], 'different': ['秘', '瑟', '泌', '䏟', '宓', '祕', '𰴕', '𮭤', '𠚊', '𢗈', '𤽣', '𥁑', '𦣥', '𨒜', '𨤩']}}]",1059,必 毖 铋 㧙 䀣 䟤 䩛 𱂅 𫠈 佖 咇 妼 怭 柲 珌 苾 袐 邲 𮤲 𫗣 馝 𱅈 𠛡 𠨘 𢁽 𣁉 𣢠 𤵘 𨠔 𨸼 𪏺,秘 瑟 泌 䏟 宓 祕 𰴕 𮭤 𠚊 𢗈 𤽣 𥁑 𦣥 𨒜 𨤩,31,15,0.6739130434782609,1059,必 毖 铋 㧙 䀣 䟤 䩛 𱂅 𫠈 佖 咇 妼 怭 柲 珌 苾 袐 邲 𮤲 𫗣 馝 𱅈 𠛡 𠨘 𢁽 𣁉 𣢠 𤵘 𨠔 𨸼 𪏺,秘 瑟 泌 䏟 宓 祕 𰴕 𮭤 𠚊 𢗈 𤽣 𥁑 𦣥 𨒜 𨤩,31,15,0.6739130434782609
bian,['1042'],㓲 㞈㲢㴜㻞㼐㾫𰬁䐔䡢䭏偏匾媥徧惼扁揙斒楄煸牑犏猵甂碥稨篇糄编翩艑萹蝙褊谝蹁遍鍽𱅝骗鳊𬸜𠋅𠪂𠷨𡎚𡺂𢉞𢐃𣩀𤬊𥚹𦑮𧡤𨲜𩩯𩴄𬸸𪏗𪖯𫕌𭨿𭶳𮸸𰀙𱖄𱜯,"[{'1042': {'same': ['遍', '编', '扁', '蝙', '煸', '匾', '㲢', '㴜', '䡢', '徧', '惼', '揙', '牑', '猵', '甂', '碥', '稨', '糄', '艑', '萹', '褊', '鍽', '鳊', '𠪂', '𣩀', '𩩯', '𬸸', '𪏗', '𪖯'], 'different': ['骗', '篇', '偏', '翩', '㓲', '㞈', '㻞', '㼐', '㾫', '𰬁', '䐔', '䭏', '媥', '斒', '楄', '犏', '谝', '蹁', '𱅝', '𬸜', '𠋅', '𠷨', '𡎚', '𡺂', '𢉞', '𢐃', '𤬊', '𥚹', '𦑮', '𧡤', '𨲜', '𩴄', '𫕌', '𭨿', '𭶳', '𮸸', '𰀙', '𱖄', '𱜯']}}]",1042,遍 编 扁 蝙 煸 匾 㲢 㴜 䡢 徧 惼 揙 牑 猵 甂 碥 稨 糄 艑 萹 褊 鍽 鳊 𠪂 𣩀 𩩯 𬸸 𪏗 𪖯,骗 篇 偏 翩 㓲 㞈 㻞 㼐 㾫 𰬁 䐔 䭏 媥 斒 楄 犏 谝 蹁 𱅝 𬸜 𠋅 𠷨 𡎚 𡺂 𢉞 𢐃 𤬊 𥚹 𦑮 𧡤 𨲜 𩴄 𫕌 𭨿 𭶳 𮸸 𰀙 𱖄 𱜯,29,39,0.4264705882352941,1042,遍 编 扁 蝙 煸 匾 㲢 㴜 䡢 徧 惼 揙 牑 猵 甂 碥 稨 糄 艑 萹 褊 鍽 鳊 𠪂 𣩀 𩩯 𬸸 𪏗 𪖯,骗 篇 偏 翩 㓲 㞈 㻞 㼐 㾫 𰬁 䐔 䭏 媥 斒 楄 犏 谝 蹁 𱅝 𬸜 𠋅 𠷨 𡎚 𡺂 𢉞 𢐃 𤬊 𥚹 𦑮 𧡤 𨲜 𩴄 𫕌 𭨿 𭶳 𮸸 𰀙 𱖄 𱜯,29,39,0.4264705882352941
biao,['1062'],㩠 𬴍儦瀌爊皫穮臕藨镳麃𡂘𡾌𥶔𦔩𩙒,"[{'1062': {'same': ['镳', '𬴍', '儦', '瀌', '穮', '臕', '藨', '麃', '𦔩'], 'different': ['㩠', '爊', '皫', '𡂘', '𡾌', '𥶔', '𩙒']}}]",1062,镳 𬴍 儦 瀌 穮 臕 藨 麃 𦔩,㩠 爊 皫 𡂘 𡾌 𥶔 𩙒,9,7,0.5625,1062,镳 𬴍 儦 瀌 穮 臕 藨 麃 𦔩,㩠 爊 皫 𡂘 𡾌 𥶔 𩙒,9,7,0.5625
bie,['1013'],别 币弊憋撆撇敝毙獘瞥蔽蹩鄨鳖𫜁𱌇𡚁𢠳,"[{'1013': {'same': ['别', '憋', '蹩', '鳖', '𱌇', '𢠳'], 'different': ['币', '毙', '弊', '蔽', '撇', '瞥', '敝', '撆', '獘', '鄨', '𫜁', '𡚁']}}]",1013,别 憋 蹩 鳖 𱌇 𢠳,币 毙 弊 蔽 撇 瞥 敝 撆 獘 鄨 𫜁 𡚁,6,12,0.3333333333333333,1013,别 憋 蹩 鳖 𱌇 𢠳,币 毙 弊 蔽 撇 瞥 敝 撆 獘 鄨 𫜁 𡚁,6,12,0.3333333333333333
bin,['1018'],㯽 傧嫔摈梹槟殡滨濵膑宾賔鬓𡣕𣩵𦆯𧓍𧸈𨮘𩪯𩯭,"[{'1018': {'same': ['宾', '槟', '滨', '殡', '鬓', '傧', '摈', '膑', '㯽', '梹', '濵', '賔', '𧸈'], 'different': ['嫔', '𡣕', '𣩵', '𦆯', '𧓍', '𨮘', '𩪯', '𩯭']}}]",1018,宾 槟 滨 殡 鬓 傧 摈 膑 㯽 梹 濵 賔 𧸈,嫔 𡣕 𣩵 𦆯 𧓍 𨮘 𩪯 𩯭,13,8,0.6190476190476191,1018,宾 槟 滨 殡 鬓 傧 摈 膑 㯽 梹 濵 賔 𧸈,嫔 𡣕 𣩵 𦆯 𧓍 𨮘 𩪯 𩯭,13,8,0.6190476190476191
bing,['1053'],㑂 㔷䇤𰬃丙怲抦昞昺柄氞炳病眪苪邴𰽥陃鞆𠒝𠛥𢨿𩬝,"[{'1053': {'same': ['病', '柄', '丙', '炳', '怲', '抦', '昞', '昺', '眪', '苪', '邴', '𰽥', '陃', '鞆', '𠒝', '𠛥', '𩬝'], 'different': ['㑂', '㔷', '䇤', '𰬃', '氞', '𢨿']}}]",1053,病 柄 丙 炳 怲 抦 昞 昺 眪 苪 邴 𰽥 陃 鞆 𠒝 𠛥 𩬝,㑂 㔷 䇤 𰬃 氞 𢨿,17,6,0.7391304347826086,1053,病 柄 丙 炳 怲 抦 昞 昺 眪 苪 邴 𰽥 陃 鞆 𠒝 𠛥 𩬝,㑂 㔷 䇤 𰬃 氞 𢨿,17,6,0.7391304347826086
bo,['381'],㗘 㙛㬍䍸䎔䗚䙏䪙䰊䶈傅博圑尃愽搏榑溥煿牔猼磗禣糐缚膊蒪赙镈馎髆𠣵𩹲,"[{'381': {'same': ['博', '搏', '膊', '㗘', '㬍', '䍸', '䗚', '䙏', '䰊', '䶈', '愽', '煿', '牔', '猼', '镈', '馎', '髆'], 'different': ['傅', '缚', '㙛', '䎔', '䪙', '圑', '尃', '榑', '溥', '磗', '禣', '糐', '蒪', '赙', '𠣵', '𩹲']}}]",381,博 搏 膊 㗘 㬍 䍸 䗚 䙏 䰊 䶈 愽 煿 牔 猼 镈 馎 髆,傅 缚 㙛 䎔 䪙 圑 尃 榑 溥 磗 禣 糐 蒪 赙 𠣵 𩹲,17,16,0.5151515151515151,381,博 搏 膊 㗘 㬍 䍸 䗚 䙏 䰊 䶈 愽 煿 牔 猼 镈 馎 髆,傅 缚 㙛 䎔 䪙 圑 尃 榑 溥 磗 禣 糐 蒪 赙 𠣵 𩹲,17,16,0.5151515151515151
bu,['386'],㕊 㭪䀯䊇䋠䝵䩉䪔䮒䯙乶俌匍哺喸圃埔尃峬庯悑捕敷旉晡浦烳甫痡盙秿簠脯舖舗莆补豧辅逋郙酺铺陠𫗦鬴𫚙𬷕𱋖黼𠜙𡜵𢼹𤗃𤙭𤿭𥪀𧻷𨁏𨴪𩊬𱂩𩳐,"[{'386': {'same': ['捕', '补', '埔', '哺', '晡', '逋', '䀯', '䊇', '䋠', '䝵', '䪔', '喸', '峬', '庯', '悑', '𫗦', '𬷕', '𠜙', '𥪀', '𧻷', '𨴪', '𩊬'], 'different': ['铺', '辅', '浦', '敷', '甫', '脯', '匍', '圃', '莆', '㕊', '㭪', '䩉', '䮒', '䯙', '乶', '俌', '尃', '旉', '烳', '痡', '盙', '秿', '簠', '舖', '舗', '豧', '郙', '酺', '陠', '鬴', '𫚙', '𱋖', '黼', '𡜵', '𢼹', '𤗃', '𤙭', '𤿭', '𨁏', '𱂩', '𩳐']}}]",386,捕 补 埔 哺 晡 逋 䀯 䊇 䋠 䝵 䪔 喸 峬 庯 悑 𫗦 𬷕 𠜙 𥪀 𧻷 𨴪 𩊬,铺 辅 浦 敷 甫 脯 匍 圃 莆 㕊 㭪 䩉 䮒 䯙 乶 俌 尃 旉 烳 痡 盙 秿 簠 舖 舗 豧 郙 酺 陠 鬴 𫚙 𱋖 黼 𡜵 𢼹 𤗃 𤙭 𤿭 𨁏 𱂩 𩳐,22,41,0.3492063492063492,386,捕 补 埔 哺 晡 逋 䀯 䊇 䋠 䝵 䪔 喸 峬 庯 悑 𫗦 𬷕 𠜙 𥪀 𧻷 𨴪 𩊬,铺 辅 浦 敷 甫 脯 匍 圃 莆 㕊 㭪 䩉 䮒 䯙 乶 俌 尃 旉 烳 痡 盙 秿 簠 舖 舗 豧 郙 酺 陠 鬴 𫚙 𱋖 黼 𡜵 𢼹 𤗃 𤙭 𤿭 𨁏 𱂩 𩳐,22,41,0.3492063492063492
ca,['45'],䕓 嚓察擦檫镲𢣼𥌀𧞍𨆾𩉐𩟔𩴳,"[{'45': {'same': ['擦', '嚓', '𨆾'], 'different': ['察', '檫', '䕓', '镲', '𢣼', '𥌀', '𧞍', '𩉐', '𩟔', '𩴳']}}]",45,擦 嚓 𨆾,察 檫 䕓 镲 𢣼 𥌀 𧞍 𩉐 𩟔 𩴳,3,10,0.23076923076923078,45,擦 嚓 𨆾,察 檫 䕓 镲 𢣼 𥌀 𧞍 𩉐 𩟔 𩴳,3,10,0.23076923076923078
cai,['245'],㥒 䌽䐆䣋䰂倸啋采婇寀彩棌睬菜踩釆𠗡𡸯𣈄𣶶𤊕𤚀𤟖𤷕𥚖𥟩𦖗𧳥𨨫𨺉𩓰𩜓𫆇𫽱𬎱,"[{'245': {'same': ['菜', '彩', '采', '踩', '睬', '㥒', '䌽', '䐆', '䣋', '䰂', '倸', '啋', '婇', '寀', '棌', '𤚀', '𤟖', '𤷕'], 'different': ['釆', '𠗡', '𡸯', '𣈄', '𣶶', '𤊕', '𥚖', '𥟩', '𦖗', '𧳥', '𨨫', '𨺉', '𩓰', '𩜓', '𫆇', '𫽱', '𬎱']}}]",245,菜 彩 采 踩 睬 㥒 䌽 䐆 䣋 䰂 倸 啋 婇 寀 棌 𤚀 𤟖 𤷕,釆 𠗡 𡸯 𣈄 𣶶 𤊕 𥚖 𥟩 𦖗 𧳥 𨨫 𨺉 𩓰 𩜓 𫆇 𫽱 𬎱,18,17,0.5142857142857142,245,菜 彩 采 踩 睬 㥒 䌽 䐆 䣋 䰂 倸 啋 婇 寀 棌 𤚀 𤟖 𤷕,釆 𠗡 𡸯 𣈄 𣶶 𤊕 𥚖 𥟩 𦖗 𧳥 𨨫 𨺉 𩓰 𩜓 𫆇 𫽱 𬎱,18,17,0.5142857142857142
can,['23'],𡞋 㟥𫶅㡎𬌷㽩䅟𫎺𬱬𫢺剼参叅𰇼𫮅惨掺椮毵毶渗犙瘆碜𥮾糁𰬪蔘𰴂𬢳贂遪𮠳𬭝骖𩭹鯵鲹黪𠔭𰄁𠫭𠬊𢕕𢿈𣪶𰞷𤗲𤨵𥊀𦌀𦲞𧑁𧗋𨝐𨨕𫕨𩈼𩌰𩞀𩫦𩴑𪅩𫃰𫤯𬛓𬤄𬥞𬯊𬳯𮜒𰄶𰸙𰿕𱐠𱝦𱝳𱭞𱯆𱻣,"[{'23': {'same': ['参', '惨', '叅', '𡞋', '㽩', '䅟', '𫎺', '𫢺', '𥮾', '𬢳', '骖', '黪', '𠫭', '𩈼', '𬤄'], 'different': ['掺', '渗', '瘆', '碜', '糁', '鲹', '㟥', '𫶅', '㡎', '𬌷', '𬱬', '剼', '𰇼', '𫮅', '椮', '毵', '毶', '犙', '𰬪', '蔘', '𰴂', '贂', '遪', '𮠳', '𬭝', '𩭹', '鯵', '𠔭', '𰄁', '𠬊', '𢕕', '𢿈', '𣪶', '𰞷', '𤗲', '𤨵', '𥊀', '𦌀', '𦲞', '𧑁', '𧗋', '𨝐', '𨨕', '𫕨', '𩌰', '𩞀', '𩫦', '𩴑', '𪅩', '𫃰', '𫤯', '𬛓', '𬥞', '𬯊', '𬳯', '𮜒', '𰄶', '𰸙', '𰿕', '𱐠', '𱝦', '𱝳', '𱭞', '𱯆', '𱻣']}}]",23,参 惨 叅 𡞋 㽩 䅟 𫎺 𫢺 𥮾 𬢳 骖 黪 𠫭 𩈼 𬤄,掺 渗 瘆 碜 糁 鲹 㟥 𫶅 㡎 𬌷 𬱬 剼 𰇼 𫮅 椮 毵 毶 犙 𰬪 蔘 𰴂 贂 遪 𮠳 𬭝 𩭹 鯵 𠔭 𰄁 𠬊 𢕕 𢿈 𣪶 𰞷 𤗲 𤨵 𥊀 𦌀 𦲞 𧑁 𧗋 𨝐 𨨕 𫕨 𩌰 𩞀 𩫦 𩴑 𪅩 𫃰 𫤯 𬛓 𬥞 𬯊 𬳯 𮜒 𰄶 𰸙 𰿕 𱐠 𱝦 𱝳 𱭞 𱯆 𱻣,15,65,0.1875,23,参 惨 叅 𡞋 㽩 䅟 𫎺 𫢺 𥮾 𬢳 骖 黪 𠫭 𩈼 𬤄,掺 渗 瘆 碜 糁 鲹 㟥 𫶅 㡎 𬌷 𬱬 剼 𰇼 𫮅 椮 毵 毶 犙 𰬪 蔘 𰴂 贂 遪 𮠳 𬭝 𩭹 鯵 𠔭 𰄁 𠬊 𢕕 𢿈 𣪶 𰞷 𤗲 𤨵 𥊀 𦌀 𦲞 𧑁 𧗋 𨝐 𨨕 𫕨 𩌰 𩞀 𩫦 𩴑 𪅩 𫃰 𫤯 𬛓 𬥞 𬯊 𬳯 𮜒 𰄶 𰸙 𰿕 𱐠 𱝦 𱝳 𱭞 𱯆 𱻣,15,65,0.1875
